gid	code
MSTRG.13732.1	LEPC
MSTRG.13732.2	LEPC
MSTRG.13746.1	LEPC
MSTRG.13748.1	LEPC
MSTRG.13748.2	LEPC
MSTRG.1375.1	LEPC
MSTRG.13773.1	LEPC
MSTRG.13777.1	LEPC
MSTRG.13814.10	LEPC
MSTRG.13814.11	LEPC
MSTRG.13814.12	LEPC
MSTRG.13814.13	LEPC
MSTRG.13814.2	LEPC
MSTRG.13814.3	LEPC
MSTRG.13814.4	LEPC
MSTRG.13814.5	LEPC
MSTRG.13814.6	LEPC
MSTRG.13814.7	LEPC
MSTRG.13814.8	LEPC
MSTRG.13814.9	LEPC
MSTRG.13824.1	LEPC
MSTRG.13825.5	LEPC
MSTRG.13873.1	LEPC
MSTRG.1389.1	LEPC
MSTRG.13904.1	LEPC
MSTRG.13914.1	LEPC
MSTRG.13918.1	LEPC
MSTRG.13919.1	LEPC
MSTRG.13920.1	LEPC
MSTRG.13922.1	LEPC
MSTRG.13977.1	LEPC
MSTRG.13981.1	LEPC
MSTRG.13986.1	LEPC
MSTRG.13991.1	LEPC
MSTRG.14009.1	LEPC
MSTRG.14014.1	LEPC
MSTRG.14172.1	LEPC
MSTRG.14231.1	LEPC
MSTRG.14248.1	LEPC
MSTRG.1427.4	LEPC
MSTRG.1427.5	LEPC
MSTRG.14313.1	LEPC
MSTRG.14313.2	LEPC
MSTRG.14313.3	LEPC
MSTRG.14313.4	LEPC
MSTRG.14313.5	LEPC
MSTRG.14320.1	LEPC
MSTRG.14323.3	LEPC
MSTRG.14335.1	LEPC
MSTRG.14349.1	LEPC
MSTRG.14349.2	LEPC
MSTRG.14349.3	LEPC
MSTRG.14349.4	LEPC
MSTRG.14349.5	LEPC
MSTRG.14349.6	LEPC
MSTRG.14349.7	LEPC
MSTRG.14375.4	LEPC
MSTRG.14377.2	LEPC
MSTRG.14380.1	LEPC
MSTRG.14382.1	LEPC
MSTRG.14382.2	LEPC
MSTRG.14383.1	LEPC
MSTRG.14384.1	LEPC
MSTRG.14385.1	LEPC
MSTRG.14458.2	LEPC
MSTRG.145.10	LEPC
MSTRG.145.9	LEPC
MSTRG.14555.1	LEPC
MSTRG.14577.1	LEPC
MSTRG.14577.2	LEPC
MSTRG.14577.3	LEPC
MSTRG.14581.1	LEPC
MSTRG.14581.2	LEPC
MSTRG.14581.3	LEPC
MSTRG.14581.4	LEPC
MSTRG.14581.5	LEPC
MSTRG.14581.6	LEPC
MSTRG.14581.7	LEPC
MSTRG.14586.1	LEPC
MSTRG.14646.10	LEPC
MSTRG.14646.11	LEPC
MSTRG.14646.3	LEPC
MSTRG.14646.4	LEPC
MSTRG.14646.5	LEPC
MSTRG.14646.6	LEPC
MSTRG.14646.7	LEPC
MSTRG.14646.8	LEPC
MSTRG.14646.9	LEPC
MSTRG.14663.13	LEPC
MSTRG.14663.15	LEPC
MSTRG.14679.1	LEPC
MSTRG.14685.1	LEPC
MSTRG.14697.3	LEPC
MSTRG.147.1	LEPC
MSTRG.14716.1	LEPC
MSTRG.14776.1	LEPC
MSTRG.14789.1	LEPC
MSTRG.14794.1	LEPC
MSTRG.1487.1	LEPC
MSTRG.14960.1	LEPC
MSTRG.15074.2	LEPC
MSTRG.15074.4	LEPC
MSTRG.15074.5	LEPC
MSTRG.15107.1	LEPC
MSTRG.15107.2	LEPC
MSTRG.15107.3	LEPC
MSTRG.15126.1	LEPC
MSTRG.15126.2	LEPC
MSTRG.15141.1	LEPC
MSTRG.15143.1	LEPC
MSTRG.15145.1	LEPC
MSTRG.15146.1	LEPC
MSTRG.15153.3	LEPC
MSTRG.15161.2	LEPC
MSTRG.15163.1	LEPC
MSTRG.15179.1	LEPC
MSTRG.15186.1	LEPC
MSTRG.15186.2	LEPC
MSTRG.15186.3	LEPC
MSTRG.15186.4	LEPC
MSTRG.15186.5	LEPC
MSTRG.15187.1	LEPC
MSTRG.15187.10	LEPC
MSTRG.15187.11	LEPC
MSTRG.15187.12	LEPC
MSTRG.15187.13	LEPC
MSTRG.15187.14	LEPC
MSTRG.15187.15	LEPC
MSTRG.15187.16	LEPC
MSTRG.15187.17	LEPC
MSTRG.15187.18	LEPC
MSTRG.15187.2	LEPC
MSTRG.15187.3	LEPC
MSTRG.15187.4	LEPC
MSTRG.15187.5	LEPC
MSTRG.15187.6	LEPC
MSTRG.15187.7	LEPC
MSTRG.15187.8	LEPC
MSTRG.15187.9	LEPC
MSTRG.15188.1	LEPC
MSTRG.15188.2	LEPC
MSTRG.15188.3	LEPC
MSTRG.15188.4	LEPC
MSTRG.15188.5	LEPC
MSTRG.15188.6	LEPC
MSTRG.15188.7	LEPC
MSTRG.15188.8	LEPC
MSTRG.15203.1	LEPC
MSTRG.15247.1	LEPC
MSTRG.15264.1	LEPC
MSTRG.15283.1	LEPC
MSTRG.15336.1	LEPC
MSTRG.15347.1	LEPC
MSTRG.15366.3	LEPC
MSTRG.15368.1	LEPC
MSTRG.15376.2	LEPC
MSTRG.15376.3	LEPC
MSTRG.15390.1	LEPC
MSTRG.15392.1	LEPC
MSTRG.15392.2	LEPC
MSTRG.15395.3	LEPC
MSTRG.15395.4	LEPC
MSTRG.15395.6	LEPC
MSTRG.15430.1	LEPC
MSTRG.15430.2	LEPC
MSTRG.15430.3	LEPC
MSTRG.15430.4	LEPC
MSTRG.15430.5	LEPC
MSTRG.15431.2	LEPC
MSTRG.15431.3	LEPC
MSTRG.15443.3	LEPC
MSTRG.15443.4	LEPC
MSTRG.15445.2	LEPC
MSTRG.15446.2	LEPC
MSTRG.15454.2	LEPC
MSTRG.15455.1	LEPC
MSTRG.15457.1	LEPC
MSTRG.15459.1	LEPC
MSTRG.15459.2	LEPC
MSTRG.15514.1	LEPC
MSTRG.15530.2	LEPC
MSTRG.1560.1	LEPC
MSTRG.1561.1	LEPC
MSTRG.15683.1	LEPC
MSTRG.15731.1	LEPC
MSTRG.15731.2	LEPC
MSTRG.15750.2	LEPC
MSTRG.15783.1	LEPC
MSTRG.15798.1	LEPC
MSTRG.15971.1	LEPC
MSTRG.15972.1	LEPC
MSTRG.15981.1	LEPC
MSTRG.16019.1	LEPC
MSTRG.16097.1	LEPC
MSTRG.16098.2	LEPC
MSTRG.16098.4	LEPC
MSTRG.16098.5	LEPC
MSTRG.16106.1	LEPC
MSTRG.16108.1	LEPC
MSTRG.16118.1	LEPC
MSTRG.16128.1	LEPC
MSTRG.16149.1	LEPC
MSTRG.16150.1	LEPC
MSTRG.1616.1	LEPC
MSTRG.1622.1	LEPC
MSTRG.16253.6	LEPC
MSTRG.16258.1	LEPC
MSTRG.16258.2	LEPC
MSTRG.16262.2	LEPC
MSTRG.16325.1	LEPC
MSTRG.16377.2	LEPC
MSTRG.16377.3	LEPC
MSTRG.16404.1	LEPC
MSTRG.16404.2	LEPC
MSTRG.16423.3	LEPC
MSTRG.16423.4	LEPC
MSTRG.16423.5	LEPC
MSTRG.16423.6	LEPC
MSTRG.16423.7	LEPC
MSTRG.16423.8	LEPC
MSTRG.16445.1	LEPC
MSTRG.16455.1	LEPC
MSTRG.16457.1	LEPC
MSTRG.16488.1	LEPC
MSTRG.16488.2	LEPC
MSTRG.16501.1	LEPC
MSTRG.16510.1	LEPC
MSTRG.16511.1	LEPC
MSTRG.16526.1	LEPC
MSTRG.16544.2	LEPC
MSTRG.16544.3	LEPC
MSTRG.16558.3	LEPC
MSTRG.16562.1	LEPC
MSTRG.16573.1	LEPC
MSTRG.16614.1	LEPC
MSTRG.1662.2	LEPC
MSTRG.16645.1	LEPC
MSTRG.16671.1	LEPC
MSTRG.16671.2	LEPC
MSTRG.16672.1	LEPC
MSTRG.16674.1	LEPC
MSTRG.16711.1	LEPC
MSTRG.16800.1	LEPC
MSTRG.16843.1	LEPC
MSTRG.1688.1	LEPC
MSTRG.1688.2	LEPC
MSTRG.1688.3	LEPC
MSTRG.1688.4	LEPC
MSTRG.1688.5	LEPC
MSTRG.1688.6	LEPC
MSTRG.1688.7	LEPC
MSTRG.16889.1	LEPC
MSTRG.1689.1	LEPC
MSTRG.1689.2	LEPC
MSTRG.1689.3	LEPC
MSTRG.16941.1	LEPC
MSTRG.16951.2	LEPC
MSTRG.16970.1	LEPC
MSTRG.1699.1	LEPC
MSTRG.17.2	LEPC
MSTRG.17.3	LEPC
MSTRG.1701.1	LEPC
MSTRG.17010.1	LEPC
MSTRG.17026.1	LEPC
MSTRG.1703.1	LEPC
MSTRG.17030.1	LEPC
MSTRG.1704.1	LEPC
MSTRG.1705.1	LEPC
MSTRG.1705.2	LEPC
MSTRG.1705.4	LEPC
MSTRG.1705.5	LEPC
MSTRG.1705.6	LEPC
MSTRG.1705.7	LEPC
MSTRG.1705.8	LEPC
MSTRG.1705.9	LEPC
MSTRG.1706.1	LEPC
MSTRG.17062.1	LEPC
MSTRG.17062.2	LEPC
MSTRG.17079.1	LEPC
MSTRG.1708.1	LEPC
MSTRG.1710.1	LEPC
MSTRG.1710.2	LEPC
MSTRG.1710.3	LEPC
MSTRG.1710.4	LEPC
MSTRG.1710.5	LEPC
MSTRG.1710.6	LEPC
MSTRG.17130.5	LEPC
MSTRG.17131.1	LEPC
MSTRG.17131.2	LEPC
MSTRG.17133.10	LEPC
MSTRG.17133.11	LEPC
MSTRG.17133.2	LEPC
MSTRG.17133.3	LEPC
MSTRG.17133.4	LEPC
MSTRG.17133.5	LEPC
MSTRG.17133.6	LEPC
MSTRG.17133.7	LEPC
MSTRG.17133.8	LEPC
MSTRG.17133.9	LEPC
MSTRG.1716.1	LEPC
MSTRG.1717.1	LEPC
MSTRG.17191.1	LEPC
MSTRG.1720.1	LEPC
MSTRG.17201.1	LEPC
MSTRG.1722.1	LEPC
MSTRG.1722.2	LEPC
MSTRG.1722.3	LEPC
MSTRG.17223.2	LEPC
MSTRG.1724.1	LEPC
MSTRG.1724.2	LEPC
MSTRG.1724.3	LEPC
MSTRG.1725.1	LEPC
MSTRG.1727.1	LEPC
MSTRG.17285.1	LEPC
MSTRG.17285.2	LEPC
MSTRG.173.1	LEPC
MSTRG.173.2	LEPC
MSTRG.173.3	LEPC
MSTRG.1736.1	LEPC
MSTRG.17366.1	LEPC
MSTRG.17375.1	LEPC
MSTRG.17377.5	LEPC
MSTRG.17377.6	LEPC
MSTRG.17377.7	LEPC
MSTRG.17377.8	LEPC
MSTRG.17379.2	LEPC
MSTRG.1738.1	LEPC
MSTRG.1738.2	LEPC
MSTRG.1738.3	LEPC
MSTRG.17380.1	LEPC
MSTRG.17382.1	LEPC
MSTRG.17383.1	LEPC
MSTRG.17424.1	LEPC
MSTRG.1743.1	LEPC
MSTRG.1743.3	LEPC
MSTRG.1743.4	LEPC
MSTRG.1743.5	LEPC
MSTRG.17434.2	LEPC
MSTRG.17434.3	LEPC
MSTRG.17434.5	LEPC
MSTRG.17479.1	LEPC
MSTRG.1748.1	LEPC
MSTRG.17483.2	LEPC
MSTRG.17502.1	LEPC
MSTRG.17510.1	LEPC
MSTRG.17514.1	LEPC
MSTRG.17528.1	LEPC
MSTRG.17530.1	LEPC
MSTRG.17530.2	LEPC
MSTRG.17530.3	LEPC
MSTRG.17530.4	LEPC
MSTRG.1755.2	LEPC
MSTRG.1758.1	LEPC
MSTRG.1758.2	LEPC
MSTRG.17593.1	LEPC
MSTRG.17594.1	LEPC
MSTRG.17613.1	LEPC
MSTRG.17614.1	LEPC
MSTRG.17614.2	LEPC
MSTRG.17614.3	LEPC
MSTRG.17614.4	LEPC
MSTRG.17614.5	LEPC
MSTRG.17624.4	LEPC
MSTRG.17654.1	LEPC
MSTRG.17678.4	LEPC
MSTRG.17679.1	LEPC
MSTRG.17688.10	LEPC
MSTRG.17688.3	LEPC
MSTRG.17688.5	LEPC
MSTRG.17688.6	LEPC
MSTRG.17688.8	LEPC
MSTRG.17691.1	LEPC
MSTRG.17701.2	LEPC
MSTRG.17702.1	LEPC
MSTRG.17702.2	LEPC
MSTRG.17704.1	LEPC
MSTRG.17704.2	LEPC
MSTRG.17733.6	LEPC
MSTRG.17747.2	LEPC
MSTRG.17747.3	LEPC
MSTRG.17747.4	LEPC
MSTRG.17751.1	LEPC
MSTRG.17752.2	LEPC
MSTRG.17760.1	LEPC
MSTRG.17765.1	LEPC
MSTRG.1778.1	LEPC
MSTRG.1778.2	LEPC
MSTRG.1778.3	LEPC
MSTRG.1781.1	LEPC
MSTRG.17815.1	LEPC
MSTRG.17815.3	LEPC
MSTRG.17818.1	LEPC
MSTRG.1782.1	LEPC
MSTRG.1782.2	LEPC
MSTRG.17823.1	LEPC
MSTRG.17824.1	LEPC
MSTRG.1783.1	LEPC
MSTRG.1784.1	LEPC
MSTRG.17860.1	LEPC
MSTRG.17863.2	LEPC
MSTRG.17880.1	LEPC
MSTRG.17880.2	LEPC
MSTRG.17880.3	LEPC
MSTRG.17880.4	LEPC
MSTRG.17880.5	LEPC
MSTRG.17883.1	LEPC
MSTRG.17883.2	LEPC
MSTRG.17883.3	LEPC
MSTRG.17883.4	LEPC
MSTRG.1790.1	LEPC
MSTRG.1790.2	LEPC
MSTRG.1790.3	LEPC
MSTRG.17908.1	LEPC
MSTRG.1791.1	LEPC
MSTRG.1792.1	LEPC
MSTRG.17924.3	LEPC
MSTRG.17924.6	LEPC
MSTRG.1793.1	LEPC
MSTRG.1794.1	LEPC
MSTRG.17944.1	LEPC
MSTRG.1795.1	LEPC
MSTRG.1796.1	LEPC
MSTRG.1797.1	LEPC
MSTRG.1801.1	LEPC
MSTRG.18040.1	LEPC
MSTRG.18040.10	LEPC
MSTRG.18040.11	LEPC
MSTRG.18040.2	LEPC
MSTRG.18040.3	LEPC
MSTRG.18040.4	LEPC
MSTRG.18040.5	LEPC
MSTRG.18040.6	LEPC
